epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,94.257,0.58492,0.51569,1.01388,0.9561,1,0.995,0.93952,0.40978,0.53958,0.92395,0.000173375,0.000173375,0.000173375
89,95.2759,0.5792,0.52349,1.02221,0.9561,1,0.995,0.93952,0.40978,0.53958,0.92395,0.000161,0.000161,0.000161
90,96.2893,0.60335,0.57525,1.04512,0.95432,1,0.995,0.93961,0.40981,0.51707,0.92783,0.000148625,0.000148625,0.000148625
91,112.159,0.76832,0.83372,1.18367,0.95025,1,0.995,0.93977,0.40136,0.47582,0.92637,0.00013625,0.00013625,0.00013625
92,113.231,0.58175,0.62857,0.98894,0.94235,1,0.995,0.93986,0.39287,0.41906,0.92453,0.000123875,0.000123875,0.000123875
93,114.243,0.55609,0.56563,1.02637,0.94235,1,0.995,0.93986,0.39287,0.41906,0.92453,0.0001115,0.0001115,0.0001115
94,115.262,0.59066,0.5828,1.00173,0.93073,1,0.995,0.92736,0.41997,0.41372,0.93042,9.9125e-05,9.9125e-05,9.9125e-05
95,116.283,0.5101,0.49442,0.94797,0.9179,1,0.995,0.92747,0.45808,0.40931,0.93264,8.675e-05,8.675e-05,8.675e-05
96,117.323,0.56755,0.50607,0.99725,0.90433,1,0.995,0.92747,0.4628,0.40451,0.92816,7.4375e-05,7.4375e-05,7.4375e-05
97,118.32,0.53463,0.48715,0.9803,0.90433,1,0.995,0.92747,0.4628,0.40451,0.92816,6.2e-05,6.2e-05,6.2e-05
98,119.338,0.51065,0.48444,0.98334,0.8974,1,0.995,0.95208,0.45709,0.4109,0.91698,4.9625e-05,4.9625e-05,4.9625e-05
99,120.357,0.54037,0.49041,0.97644,0.89942,1,0.995,0.94525,0.44561,0.40786,0.9094,3.725e-05,3.725e-05,3.725e-05
100,121.375,0.54379,0.50707,0.99677,0.90314,1,0.995,0.94525,0.43249,0.40569,0.90113,2.4875e-05,2.4875e-05,2.4875e-05
